,movieId,title,cls
0,1,Toy Story,4
1,6,Heat,2
2,11,The American President,4
3,17,Sense and Sensibility,1
4,19,Ace Ventura: When Nature Calls,4
5,25,Leaving Las Vegas,1
6,32,12 Monkeys,2
7,39,Clueless,4
8,47,Se7en,2
9,48,Pocahontas,4
10,50,The Usual Suspects,2
11,62,Mr. Holland's Opus,1
12,104,Happy Gilmore,4
13,110,Braveheart,6
14,111,Taxi Driver,2
15,141,The Birdcage,4
16,150,Apollo 13,4
17,161,Crimson Tide,6
18,162,Crumb,5
19,163,Desperado,4
20,165,Die Hard with a Vengeance,2
21,223,Clerks,4
22,235,Ed Wood,4
23,246,Hoop Dreams,5
24,253,Interview with the Vampire: The Vampire Chronicles,0
25,260,Star Wars: Episode IV - A New Hope,4
26,266,Legends of the Fall,6
27,292,Outbreak,2
28,293,Léon: The Professional,2
29,296,Pulp Fiction,2
30,300,Quiz Show,1
31,318,The Shawshank Redemption,2
32,337,What's Eating Gilbert Grape,1
33,339,While You Were Sleeping,4
34,344,Ace Ventura: Pet Detective,4
35,349,Clear and Present Danger,2
36,356,Forrest Gump,6
37,357,Four Weddings and a Funeral,4
38,364,The Lion King,4
39,367,The Mask,2
40,370,Naked Gun 33 1/3: The Final Insult,4
41,377,Speed,2
42,380,True Lies,4
43,440,Dave,4
44,457,The Fugitive,2
45,480,Jurassic Park,4
46,500,Mrs. Doubtfire,4
47,508,Philadelphia,1
48,509,The Piano,1
49,520,Robin Hood: Men in Tights,4
50,527,Schindler's List,6
51,539,Sleepless in Seattle,4
52,541,Blade Runner,2
53,553,Tombstone,4
54,587,Ghost,4
55,588,Aladdin,4
56,589,Terminator 2: Judgment Day,4
57,590,Dances with Wolves,4
58,592,Batman,2
59,593,The Silence of the Lambs,2
60,595,Beauty and the Beast,4
61,597,Pretty Woman,4
62,608,Fargo,2
63,648,Mission: Impossible,2
64,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6
65,778,Trainspotting,2
66,780,Independence Day,4
67,858,The Godfather,2
68,912,Casablanca,1
69,920,Gone with the Wind,6
70,1035,The Sound of Music,4
71,1036,Die Hard,2
72,1080,Monty Python's Life of Brian,4
73,1089,Reservoir Dogs,2
74,1090,Platoon,6
75,1097,E.T. the Extra-Terrestrial,4
76,1101,Top Gun,4
77,1136,Monty Python and the Holy Grail,4
78,1147,When We Were Kings,5
79,1183,The English Patient,6
80,1189,The Thin Blue Line,5
81,1193,One Flew Over the Cuckoo's Nest,1
82,1196,Star Wars: Episode V - The Empire Strikes Back,4
83,1197,The Princess Bride,4
84,1198,Raiders of the Lost Ark,4
85,1203,12 Angry Men,1
86,1206,A Clockwork Orange,2
87,1207,To Kill a Mockingbird,1
88,1208,Apocalypse Now,6
89,1210,Star Wars: Episode VI - Return of the Jedi,4
90,1213,Goodfellas,2
91,1214,Alien,0
92,1220,The Blues Brothers,4
93,1221,The Godfather: Part II,2
94,1222,Full Metal Jacket,6
95,1225,Amadeus,1
96,1230,Annie Hall,4
97,1240,The Terminator,2
98,1246,Dead Poets Society,1
99,1247,The Graduate,4
100,1258,The Shining,0
101,1265,Groundhog Day,4
102,1266,Unforgiven,1
103,1270,Back to the Future,4
104,1288,This Is Spinal Tap,4
105,1289,Koyaanisqatsi,5
106,1291,Indiana Jones and the Last Crusade,4
107,1304,Butch Cassidy and the Sundance Kid,4
108,1307,When Harry Met Sally...,4
109,1380,Grease,4
110,1393,Jerry Maguire,1
111,1394,Raising Arizona,4
112,1485,Liar Liar,4
113,1580,Men in Black,4
114,1617,L.A. Confidential,2
115,1641,The Full Monty,4
116,1682,The Truman Show,4
117,1704,Good Will Hunting,1
118,1721,Titanic,1
119,1732,The Big Lebowski,2
120,1784,As Good as It Gets,4
121,1923,There's Something About Mary,4
122,1954,Rocky,1
123,1961,Rain Man,1
124,1968,The Breakfast Club,4
125,2028,Saving Private Ryan,6
126,2064,Roger & Me,5
127,2302,My Cousin Vinny,4
128,2324,Life Is Beautiful,6
129,2329,American History X,2
130,2395,Rushmore,4
131,2396,Shakespeare in Love,4
132,2571,The Matrix,2
133,2677,Buena Vista Social Club,5
